"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"0","Simpsons Roasting on an Open Fire","Homer is forced to become a department store Santa when Marge spends the family's Christmas savings on removing Bart's tattoo.","1989-12-17","David Silverman","Mimi Pond","1","1","1","26.7","",""
"1","Bart the Genius","Bart ends up at a school for gifted children after cheating on an IQ test.","1990-01-14","David Silverman","Jon Vitti","1","2","2","24.5","",""
"2","Homer's Odyssey","After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.","1990-01-21","Wes Archer","Jay Kogen & Wallace Wolodarsky","1","3","3","27.5","",""
"3","There's No Disgrace Like Home","After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other","1990-01-28","Gregg Vanzo & Kent Butterworth","Al Jean & Mike Reiss","1","4","4","20.2","",""
"4","Bart the General","After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.","1990-02-04","David Silverman","John Swartzwelder","1","5","5","27.1","",""
"5","Moaning Lisa","A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy","1990-02-11","Wes Archer","Al Jean & Mike Reiss","1","6","6","27.4","",""
"6","The Call of the Simpsons","Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.","1990-02-18","Wes Archer","John Swartzwelder","1","7","7","27.6","",""
"7","The Telltale Head","Bart gets more than he bargained for when he saws the head off a statue of the town's founder.","1990-02-25","Rich Moore","Al Jean, Mike Reiss, Sam Simon & Matt Groening","1","8","8","28.0","",""
"8","Life on the Fast Lane","Marge contemplates an affair with a handsome bowling instructor.","1990-03-18","David Silverman","John Swartzwelder","1","9","9","33.5","",""
"9","Homer's Night Out","After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge.","1990-03-25","Rich Moore","Jon Vitti","1","10","10","30.3","",""
"10","The Crepes of Wrath","Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family.","1990-04-15","Wes Archer & Milton Gray","George Meyer, Sam Simon, John Swartzwelder & Jon Vitti","1","11","11","31.2","",""
